date,sport_key,league_id,season,fixture_id,home,away,odds_source,recommended_market,recommended_side,recommended_book,recommended_price,model_prob,implied_prob,fair_odds,edge_pp,edge_pct,best_EV,kelly_best,odds_h,odds_d,odds_a,p_hat_h,p_hat_d,p_hat_a,league_name,days_to_match,home_norm,away_norm,status_short,status_long,home_id,away_id,home_rank,away_rank,rank_diff,home_points,away_points,points_diff,home_goalsDiff,away_goalsDiff,goalsdiff_diff,home_form5_pts,home_form5_gd,away_form5_pts,away_form5_gd,home_wins5,home_draws5,home_losses5,home_rest_days,away_wins5,away_draws5,away_losses5,away_rest_days,p_entry_h,p_entry_d,p_entry_a,overround,home_goals_for_avg,home_goals_against_avg,home_win_rate,home_draw_rate,home_loss_rate,home_cs_rate,home_fts_rate,away_goals_for_avg,away_goals_against_avg,away_win_rate,away_draw_rate,away_loss_rate,away_cs_rate,away_fts_rate,home_shots_for_pg,home_shots_on_for_pg,home_shots_against_pg,home_shots_on_against_pg,away_shots_for_pg,away_shots_on_for_pg,away_shots_against_pg,away_shots_on_against_pg,home_corners_for_pg,home_corners_against_pg,away_corners_for_pg,away_corners_against_pg,home_yc_pg,home_rc_pg,away_yc_pg,away_rc_pg,home_possession_avg,away_possession_avg,home_injuries_30d,away_injuries_30d,league_home_win_rate,h2h_games,h2h_pts_home,h2h_gd_home,h2h_win_rate_home,home_expected_goals,away_expected_goals,home_ball_possession,away_ball_possession,home_shots_on_goal,away_shots_on_goal,home_total_shots,away_total_shots,home_shots_off_goal,away_shots_off_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes_pct,away_passes_pct,home_passes_accurate,away_passes_accurate,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls,away_fouls,home_offsides,away_offsides,home_xg,away_xg,src_book_h,src_book_d,src_book_a,bookmaker_count,EV_H,kelly_H,EV_D,kelly_D,EV_A,kelly_A,best_side,imp_h,imp_d,imp_a,fair_h,fair_d,fair_a,edge_pp_h,edge_pp_d,edge_pp_a,edge_price_h,edge_price_d,edge_price_a,ou25_over_odds,ou25_under_odds,ah_home_m0_5_odds,ah_away_p0_5_odds,ah_home_line,ah_away_line,stake,why
2025-10-18 14:15:00+00:00,soccer_spain_la_liga,140,2025,1390901,Barcelona,Girona,apifootball,1X2,Away,Betano,16.5,0.8614441676169645,0.06060606060606061,1.1608413378272977,80.08381070109039,13.213828765679915,13.213828765679915,0.21312627041419216,1.19,7.5,16.5,0.13847966034164444,7.617204139101654e-05,0.8614441676169645,La Liga,1.9307993710300926,barcelona,girona,NS,Not Started,529,547,2,18,-16,19,6,13,13,-12,25,12.0,9.0,2.0,-11.0,4.0,1.0,0.0,6.90625,0.0,3.0,2.0,7.802083333333333,0.8097165991902834,0.12955465587044532,0.060728744939271245,0.029166666666666785,2.8,1.1,0.75,0.125,,0.375,,0.6,2.1,0.125,0.375,,0.125,0.5,,,,,,,,,,,,,,,,,,,,,0.4875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Unibet,Betano,3.0,-0.8352092041934431,0.0,-0.9994287096895674,0.0,13.213828765679915,0.21312627041419216,A,0.8403361344537815,0.13333333333333333,0.06060606060606061,7.221277099704684,13128.17645081436,1.1608413378272977,-70.18564741121371,-13.325716129194232,80.08381070109039,-0.8352092041934431,-0.9994287096895674,13.213828765679915,1.27,4.1,1.55,4.4,-0.5,-0.5,21.31,form5_pts(H-A): +10.00 | rank_diff(H-A): -16.00 | overround: -0.03 | EV: +1321.4% | Kelly: 21.3%
2025-10-18 19:00:00+00:00,soccer_spain_la_liga,140,2025,1390900,Atletico Madrid,Osasuna,apifootball,1X2,Away,Unibet,9.5,0.9925885505858091,0.10526315789473684,1.0074667891442197,88.73253926910722,8.429591230565187,8.429591230565187,0.24792915384015254,1.38,4.85,9.5,0.007161578637525272,0.0002498707766657118,0.9925885505858091,La Liga,2.1287160376967593,atletico madrid,osasuna,NS,Not Started,530,727,5,12,-7,13,10,3,5,-1,6,11.0,6.0,4.0,-2.0,3.0,2.0,0.0,8.197916666666666,1.0,1.0,3.0,5.0,0.6993988888551566,0.1990042199216734,0.10159689122317009,0.03608640606446656,1.9,1.3,0.375,0.5,,0.125,,0.9,1.0,0.375,0.125,,0.25,0.375,,,,,,,,,,,,,,,,,,,,,0.4875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Betano,Unibet,3.0,-0.9901170214802151,0.0,-0.9987881267331713,0.0,8.429591230565187,0.24792915384015254,A,0.7246376811594204,0.2061855670103093,0.10526315789473684,139.6340179468526,4002.0686426161965,1.0074667891442197,-71.7476102521895,-20.593569623364356,88.73253926910722,-0.9901170214802151,-0.9987881267331713,8.429591230565187,1.94,2.0,1.96,3.3,-0.5,-0.5,24.79,form5_pts(H-A): +7.00 | rank_diff(H-A): -7.00 | overround: -0.04 | EV: +843.0% | Kelly: 24.8%
2025-10-18 14:00:00+00:00,soccer_epl,39,2025,1379044,Manchester City,Everton,apifootball,1X2,Away,Unibet,8.0,0.9659602670861636,0.125,1.035239268191142,84.09602670861635,6.7276821366893085,6.7276821366893085,0.24027436202461816,1.42,4.8,8.0,0.034029683427552374,1.0049486283975405e-05,0.9659602670861636,Premier League,1.9203827043634258,manchester city,everton,NS,Not Started,50,45,5,8,-3,13,11,2,9,2,7,10.0,7.0,7.0,1.0,2.0,1.0,2.0,8.0625,2.0,2.0,1.0,5.75,0.6815257832330748,0.1975033902430543,0.12097082652387077,0.03330698476573746,2.1,0.9,0.5714285714285714,0.14285714285714285,,0.42857142857142855,0.14285714285714285,1.3,1.0,0.42857142857142855,0.2857142857142857,,0.2857142857142857,0.2857142857142857,,,,,,,,,,,,,,,,,,,12.0,6.0,0.4857142857142857,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Unibet,Unibet,3.0,-0.9516778495328756,0.0,-0.999951762465837,0.0,6.7276821366893085,0.24027436202461816,A,0.7042253521126761,0.20833333333333334,0.125,29.38610939854771,99507.57399356508,1.035239268191142,-67.01956686851237,-20.832328384704937,84.09602670861635,-0.9516778495328756,-0.999951762465837,6.7276821366893085,1.77,2.23,1.95,3.13,-0.5,-0.5,24.03,form5_pts(H-A): +3.00 | rank_diff(H-A): -3.00 | injuries30d(A-H): -6.00 | overround: -0.03 | EV: +672.8% | Kelly: 24.0%
2025-10-18 16:30:00+00:00,soccer_germany_bundesliga,78,2025,1388362,Bayern München,Borussia Dortmund,apifootball,1X2,Away,Unibet,7.5,0.9829107783491039,0.13333333333333333,1.0173863406804828,84.95774450157705,6.37183083761828,6.371830837618279,0.24507041683147227,1.38,6.0,7.5,0.017087815374490705,1.4062764054386318e-06,0.9829107783491039,Bundesliga,2.024549371030093,bayern münchen,borussia dortmund,NS,Not Started,157,165,1,2,-1,18,14,4,22,8,14,15.0,16.0,13.0,8.0,5.0,0.0,0.0,7.916666666666667,4.0,1.0,0.0,7.0,0.7174887892376681,0.16143497757847533,0.1210762331838565,0.03240740740740744,4.2,0.5,1.0,0.0,,0.6666666666666666,,2.0,0.7,0.6666666666666666,0.3333333333333333,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,14.0,13.0,0.4074074074074074,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Unibet,Unibet,3.0,-0.9764188147832028,0.0,-0.9999915623415674,0.0,6.371830837618279,0.24507041683147227,A,0.7246376811594204,0.16666666666666666,0.13333333333333333,58.52123153746355,711097.7586857044,1.0173863406804828,-70.75498657849298,-16.666526039026124,84.95774450157705,-0.9764188147832028,-0.9999915623415674,6.37183083761828,1.34,3.55,1.76,3.44,-0.5,-0.5,24.51,form5_pts(H-A): +2.00 | rank_diff(H-A): -1.00 | injuries30d(A-H): -1.00 | overround: -0.03 | EV: +637.2% | Kelly: 24.5%
2025-10-18 13:30:00+00:00,soccer_germany_bundesliga,78,2025,1388367,RB Leipzig,Hamburger SV,apifootball,1X2,Away,Unibet,7.0,0.9942941945211159,0.14285714285714285,1.005738548520473,85.14370516639731,5.9600593616478115,5.9600593616478115,0.2483358067353255,1.44,5.6,7.0,0.005628933745091221,7.68717337928919e-05,0.9942941945211159,Bundesliga,1.8995493710300926,rb leipzig,hamburger sv,NS,Not Started,173,175,3,9,-6,13,8,5,0,-2,2,13.0,6.0,5.0,-6.0,4.0,0.0,1.0,7.0,1.0,2.0,2.0,6.916666666666667,0.6630462237938874,0.1831270522859308,0.15382672392018187,0.040131362889983535,1.3,1.3,0.6666666666666666,0.16666666666666666,,0.5,0.16666666666666666,1.0,1.3,0.3333333333333333,0.3333333333333333,,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,17.0,10.0,0.4074074074074074,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Unibet,Unibet,3.0,-0.9918943354070686,0.0,-0.9995695182907598,0.0,5.9600593616478115,0.2483358067353255,A,0.6944444444444444,0.17857142857142858,0.14285714285714285,177.6535388912797,13008.682784418568,1.005738548520473,-68.88155106993533,-17.84945568376357,85.14370516639731,-0.9918943354070686,-0.9995695182907598,5.9600593616478115,1.38,3.2,1.9,3.0,-0.5,-0.5,24.83,form5_pts(H-A): +8.00 | rank_diff(H-A): -6.00 | injuries30d(A-H): -7.00 | overround: -0.04 | EV: +596.0% | Kelly: 24.8%
2025-10-19 15:30:00+00:00,soccer_epl,39,2025,1379043,Liverpool,Manchester United,apifootball,1X2,Away,Unibet,5.1,0.9110825438125322,0.19607843137254904,1.0975953900020763,71.50041124399831,3.6465209734439137,3.6465209734439137,0.2223488398441411,1.62,4.5,5.1,0.08889909356153734,1.8362625930518826e-05,0.9110825438125322,Premier League,2.982882704363426,liverpool,manchester united,NS,Not Started,40,33,2,10,-8,15,10,5,4,-2,6,9.0,1.0,7.0,-3.0,4.0,0.0,1.0,7.104166666666667,2.0,1.0,2.0,7.104166666666667,0.5960729312762973,0.21458625525946703,0.18934081346423567,0.035584604212055115,1.9,1.3,0.7142857142857143,0.0,,0.2857142857142857,,1.3,1.6,0.42857142857142855,0.14285714285714285,,0.14285714285714285,0.2857142857142857,,,,,,,,,,,,,,,,,,,12.0,8.0,0.4857142857142857,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Unibet,Unibet,3.0,-0.8559834684303095,0.0,-0.9999173681833127,0.0,3.6465209734439137,0.2223488398441411,A,0.6172839506172839,0.2222222222222222,0.19607843137254904,11.248708619371742,54458.442043302326,1.0975953900020763,-52.838485705574655,-22.22038595962917,71.50041124399831,-0.8559834684303095,-0.9999173681833127,3.6465209734439137,1.52,2.75,2.12,2.4,-0.5,-0.5,22.23,form5_pts(H-A): +2.00 | rank_diff(H-A): -8.00 | injuries30d(A-H): -4.00 | overround: -0.04 | EV: +364.7% | Kelly: 22.2%
2025-10-18 12:00:00+00:00,soccer_spain_la_liga,140,2025,1390907,Sevilla,Mallorca,apifootball,1X2,Away,Betano,4.7,0.8637222730602071,0.2127659574468085,1.1577795677966654,65.09563156133986,3.059494683382974,3.0594946833829733,0.20672261374209278,1.88,3.45,4.7,0.13599710296500897,0.00028062397478381007,0.8637222730602071,La Liga,1.8370493710300926,sevilla,mallorca,NS,Not Started,536,798,6,20,-14,13,5,8,4,-6,10,10.0,3.0,4.0,-2.0,3.0,1.0,1.0,7.09375,1.0,1.0,3.0,7.0,0.5092250922509224,0.28044280442804426,0.21033210332103322,0.03356216628527853,1.9,1.4,0.5,0.125,,0.25,,0.9,1.6,0.125,0.25,,0.125,0.25,,,,,,,,,,,,,,,,,,,,1.0,0.4875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Unibet,Betano,3.0,-0.7443254464257831,0.0,-0.9990318472869959,0.0,3.0594946833829733,0.20672261374209278,A,0.5319148936170213,0.2898550724637681,0.2127659574468085,7.35309781015918,3563.48740612911,1.1577795677966654,-39.59177906520123,-28.957444848898433,65.09563156133986,-0.7443254464257831,-0.9990318472869959,3.059494683382974,2.29,1.73,2.58,1.99,-0.5,-0.5,20.67,form5_pts(H-A): +6.00 | rank_diff(H-A): -14.00 | overround: -0.03 | EV: +305.9% | Kelly: 20.7%
2025-10-18 14:00:00+00:00,soccer_epl,39,2025,1379041,Crystal Palace,Bournemouth,apifootball,1X2,Away,Unibet,3.45,0.9874007718708561,0.2898550724637681,1.0127599942070855,69.75456994070879,2.406532662954454,2.4065326629544534,0.245564557444332,2.22,3.35,3.45,0.012513614018938992,8.561411020499774e-05,0.9874007718708561,Premier League,1.9203827043634258,crystal palace,bournemouth,NS,Not Started,52,35,6,4,2,12,14,-2,4,3,1,10.0,4.0,11.0,3.0,3.0,2.0,0.0,7.958333333333333,3.0,2.0,0.0,6.208333333333333,0.43362035004783606,0.2873543812257302,0.2790252687264337,0.03881298560078572,1.3,0.7,0.42857142857142855,0.42857142857142855,,0.42857142857142855,0.2857142857142857,1.6,1.1,0.5714285714285714,0.2857142857142857,,0.42857142857142855,0.14285714285714285,,,,,,,,,,,,,,,,,,,12.0,8.0,0.4857142857142857,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Unibet,Unibet,3.0,-0.9722197768779555,0.0,-0.9997131927308133,0.0,2.4065326629544534,0.245564557444332,A,0.4504504504504504,0.29850746268656714,0.2898550724637681,79.91296507040484,11680.317620606711,1.0127599942070855,-43.79368364315114,-29.842184857636212,69.75456994070879,-0.9722197768779555,-0.9997131927308133,2.406532662954454,1.98,1.96,2.82,1.71,-0.5,-0.5,24.56,form5_pts(H-A): -1.00 | rank_diff(H-A): +2.00 | injuries30d(A-H): -4.00 | overround: -0.04 | EV: +240.7% | Kelly: 24.6%
2025-10-17 18:30:00+00:00,soccer_germany_bundesliga,78,2025,1388369,Union Berlin,Borussia Mönchengladbach,apifootball,1X2,Away,Betano,3.45,0.9591849424026153,0.2898550724637681,1.04255181226589,66.93298699388473,2.309188051289023,2.309188051289023,0.2356314338050023,2.2,3.55,3.45,0.03920903468284138,0.0016060229145434064,0.9591849424026153,Bundesliga,1.1078827043634258,union berlin,borussia mönchengladbach,NS,Not Started,182,163,13,17,-4,7,3,4,-5,-7,2,4.0,-6.0,2.0,-5.0,2.0,1.0,2.0,5.833333333333333,0.0,2.0,3.0,8.041666666666666,0.4274809160305344,0.267175572519084,0.3053435114503817,0.03968253968253954,1.3,2.2,0.3333333333333333,0.16666666666666666,,0.16666666666666666,0.5,0.8,2.0,0.0,0.5,,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,13.0,14.0,0.4074074074074074,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Unibet,Betano,3.0,-0.9137401236977489,0.0,-0.9942986186533709,0.0,2.309188051289023,0.2356314338050023,A,0.45454545454545453,0.28169014084507044,0.2898550724637681,25.50432593122776,622.6561221166018,1.04255181226589,-41.533641986261316,-28.0084117930527,66.93298699388473,-0.9137401236977489,-0.9942986186533709,2.309188051289023,1.87,2.1,2.82,1.9,-0.5,-0.5,23.56,form5_pts(H-A): +2.00 | rank_diff(H-A): -4.00 | injuries30d(A-H): +1.00 | overround: -0.04 | EV: +230.9% | Kelly: 23.6%
2025-10-18 16:30:00+00:00,soccer_spain_la_liga,140,2025,1390908,Villarreal,Real Betis,apifootball,1X2,Away,Unibet,4.1,0.7868288969377275,0.24390243902439027,1.2709243444056473,54.292645791333726,2.2259984774446826,2.2259984774446826,0.17951600624553893,1.91,3.75,4.1,0.2130747517700005,9.635129227191819e-05,0.7868288969377275,La Liga,2.024549371030093,villarreal,real betis,NS,Not Started,533,543,3,4,-1,16,15,1,6,5,1,9.0,-1.0,10.0,4.0,3.0,1.0,1.0,7.0,2.0,2.0,1.0,6.895833333333333,0.5017869543860838,0.2555768221006453,0.24263622351327083,0.04339143305277582,1.8,1.0,0.625,0.125,,0.375,0.125,1.6,1.0,0.5,0.375,,0.25,,,,,,,,,,,,,,,,,,,,,,0.4875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betano,Betano,Unibet,3.0,-0.5930272241192991,0.0,-0.9996386826539803,0.0,2.2259984774446826,0.17951600624553893,A,0.5235602094240838,0.26666666666666666,0.24390243902439027,4.693188618984905,10378.687990793584,1.2709243444056473,-31.04854576540833,-26.657031537439472,54.292645791333726,-0.5930272241192991,-0.9996386826539803,2.2259984774446826,1.79,2.19,2.6,1.98,-0.5,-0.5,17.95,form5_pts(H-A): -1.00 | rank_diff(H-A): -1.00 | overround: -0.04 | EV: +222.6% | Kelly: 18.0%
